has_kiosk,eightd_has_key_dispenser,capacity,external_id,short_name,rental_methods,name,electric_bike_surcharge_waiver,rental_uris,lat,eightd_station_services,station_type,region_id,station_id,lng
True,False,15,082518eb-1f3f-11e7-bf6b-3863bb334450,31708,"['KEY', 'CREDITCARD']",Anacostia Ave & Benning Rd NE / River Terrace ,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.896544,[],classic,42,082518eb-1f3f-11e7-bf6b-3863bb334450,-76.96012
True,False,19,08261f4b-1f3f-11e7-bf6b-3863bb334450,31904,"['KEY', 'CREDITCARD']",East Falls Church Metro / Sycamore St & 19th St N,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.88532071975074,[],classic,41,08261f4b-1f3f-11e7-bf6b-3863bb334450,-77.15642720460892
True,False,17,ebbf6e18-684d-4fc9-ad4d-c025b8d76556,32420,"['KEY', 'CREDITCARD']",Prince George's Plaza Metro,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.965742,[],classic,133,ebbf6e18-684d-4fc9-ad4d-c025b8d76556,-76.954803
True,False,15,082514b8-1f3f-11e7-bf6b-3863bb334450,31245,"['KEY', 'CREDITCARD']",7th & R St NW / Shaw Library,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.912719,[],classic,42,082514b8-1f3f-11e7-bf6b-3863bb334450,-77.022155
True,False,15,08252530-1f3f-11e7-bf6b-3863bb334450,31030,"['KEY', 'CREDITCARD']",Langston Blvd & N Adams St,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.89593,[],classic,41,08252530-1f3f-11e7-bf6b-3863bb334450,-77.089006
True,False,15,8d8a3add-40b4-41ba-bffe-5a754ebc1625,31929,"['KEY', 'CREDITCARD']",Mt Vernon Trail & S. Washington St.,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.7930647,[],classic,40,8d8a3add-40b4-41ba-bffe-5a754ebc1625,-77.049436
True,False,19,08254943-1f3f-11e7-bf6b-3863bb334450,31406,"['KEY', 'CREDITCARD']",14th & Upshur St NW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.942475355602845,[],classic,42,08254943-1f3f-11e7-bf6b-3863bb334450,-77.03267812728882
True,False,23,e823318f-8406-4230-8072-1667f5de78d4,32243,"['KEY', 'CREDITCARD']",Reston Town Center Metro North,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.953691,[],classic,104,e823318f-8406-4230-8072-1667f5de78d4,-77.359717
True,False,15,6922a398-ec20-493d-a832-5e337cf335f5,32424,"['KEY', 'CREDITCARD']",Roosevelt Center & Crescent Rd,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",39.00031,[],classic,133,6922a398-ec20-493d-a832-5e337cf335f5,-76.878005
False,False,20,2061579755230425156,31429,"['KEY', 'CREDITCARD']",Rock Creek Pkwy & Pkwy Dr NW ,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.8919,[],classic,42,2061579755230425156,-77.054517
True,False,11,1892760823152249488,31389,"['KEY', 'CREDITCARD']",Route 29 & Circle Woods Dr,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.86911419290566,[],classic,,1892760823152249488,-77.27153766943553
True,False,15,cdeeb133-ccd7-418f-a8d7-0b5c5380a8ae,31943,"['KEY', 'CREDITCARD']",N Howard St & Taney Ave,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.815842,[],classic,40,cdeeb133-ccd7-418f-a8d7-0b5c5380a8ae,-77.110014
True,False,19,6edca550-d78f-4c5d-ad2c-79d1ce88c48d,32093,"['KEY', 'CREDITCARD']",White Oak Transit Center,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",39.04104,[],classic,44,6edca550-d78f-4c5d-ad2c-79d1ce88c48d,-76.987125
True,False,15,987decdd-577d-4614-a6eb-307944a634b4,32400,"['KEY', 'CREDITCARD']",1301 McCormick Dr / Wayne K. Curry Admin Bldg,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.908391,[],classic,133,987decdd-577d-4614-a6eb-307944a634b4,-76.843263
True,False,23,08261d9d-1f3f-11e7-bf6b-3863bb334450,31287,"['KEY', 'CREDITCARD']",10th St & L'Enfant Plaza SW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.88432272414662,[],classic,42,08261d9d-1f3f-11e7-bf6b-3863bb334450,-77.02601015567778
True,False,19,0825fbd3-1f3f-11e7-bf6b-3863bb334450,31315,"['KEY', 'CREDITCARD']",Connecticut Ave & McKinley St NW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.96454350924588,[],classic,42,0825fbd3-1f3f-11e7-bf6b-3863bb334450,-77.07513481378555
True,False,12,0136af02-2670-4042-b5cd-18b46c15c0c1,32242,"['KEY', 'CREDITCARD']",Market St & St Francis St,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.95866,[],classic,104,0136af02-2670-4042-b5cd-18b46c15c0c1,-77.361516
True,False,19,1879766346478500482,31392,"['KEY', 'CREDITCARD']",39th St & Tunlaw Rd NW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.9257,[],classic,,1879766346478500482,-77.079119
True,False,15,08259c89-1f3f-11e7-bf6b-3863bb334450,32021,"['KEY', 'CREDITCARD']",47th & Elm St,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.982456,[],classic,44,08259c89-1f3f-11e7-bf6b-3863bb334450,-77.091991
True,False,15,1999699654561182176,32428,"['KEY', 'CREDITCARD']",Walker Mill Road/ Walker Mill Regional Park ,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.875772,[],classic,133,1999699654561182176,-76.868767
True,False,11,0825ac97-1f3f-11e7-bf6b-3863bb334450,32024,"['KEY', 'CREDITCARD']",Fenton St & Gist Ave,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.989724,[],classic,44,0825ac97-1f3f-11e7-bf6b-3863bb334450,-77.023854
True,False,31,08256e11-1f3f-11e7-bf6b-3863bb334450,31272,"['KEY', 'CREDITCARD']",Washington & Independence Ave SW/HHS,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.886978,[],classic,42,08256e11-1f3f-11e7-bf6b-3863bb334450,-77.013769
True,False,19,68eaf9f5-7b2d-4f60-9f02-9f5ba1103f80,31422,"['KEY', 'CREDITCARD']",Broad Branch Rd & Northampton St NW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.96577499342219,[],classic,42,68eaf9f5-7b2d-4f60-9f02-9f5ba1103f80,-77.06862643361092
True,False,27,2066765243426702154,31982,"['KEY', 'CREDITCARD']",20th & Q St NW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.9110858,[],classic,42,2066765243426702154,-77.0450612
True,False,15,082595a1-1f3f-11e7-bf6b-3863bb334450,32017,"['KEY', 'CREDITCARD']",Monroe St & Monroe Pl,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",39.083673,[],classic,43,082595a1-1f3f-11e7-bf6b-3863bb334450,-77.149162
True,False,19,0825f723-1f3f-11e7-bf6b-3863bb334450,31275,"['KEY', 'CREDITCARD']",New Hampshire Ave & 24th St NW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.901755,[],classic,42,0825f723-1f3f-11e7-bf6b-3863bb334450,-77.051084
True,False,12,8d68e4db-0bc9-440a-9b27-5d34ed1b93c9,32244,"['KEY', 'CREDITCARD']",Vantage Hill Rd & Wainwright Dr,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.9667,[],classic,104,8d68e4db-0bc9-440a-9b27-5d34ed1b93c9,-77.348487
True,False,12,e976c0ab-bc21-42b3-a2c2-b90def6f54f4,32239,"['KEY', 'CREDITCARD']",Becontree Ln & Goldenrain Ct,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.966848,[],classic,104,e976c0ab-bc21-42b3-a2c2-b90def6f54f4,-77.329282
True,False,12,3d8b6392-9572-4c65-b71c-fd8f03af9ab2,32266,"['KEY', 'CREDITCARD']",Emma Lee St & Morris St,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.877818,[],classic,104,3d8b6392-9572-4c65-b71c-fd8f03af9ab2,-77.209421
True,False,19,0826183f-1f3f-11e7-bf6b-3863bb334450,31282,"['KEY', 'CREDITCARD']",16th & R St NW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.912652,[],classic,42,0826183f-1f3f-11e7-bf6b-3863bb334450,-77.036278
True,False,19,dfa896d9-9209-413d-b494-e255ef513d2c,31932,"['KEY', 'CREDITCARD']",Van Dorn Metro,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.8000766,[],classic,40,dfa896d9-9209-413d-b494-e255ef513d2c,-77.1299434
True,False,19,08263fbd-1f3f-11e7-bf6b-3863bb334450,32220,"['KEY', 'CREDITCARD']",W&OD Trail/Sunset Hills Rd & Isaac Newton Sq,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.951419,[],classic,104,08263fbd-1f3f-11e7-bf6b-3863bb334450,-77.340281
