lng,eightd_has_key_dispenser,short_name,has_kiosk,rental_uris,lat,external_id,region_id,eightd_station_services,capacity,station_type,electric_bike_surcharge_waiver,rental_methods,name,station_id
-73.91274864321404,False,7082.08,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.77423301703027,1817822909864556798,71,[],27,classic,False,"['KEY', 'CREDITCARD']",23 Ave & 31 St,1817822909864556798
-73.928381,False,8149.09,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.834457,481624f3-9377-4dfd-a5dd-de05a7fef760,71,[],19,classic,False,"['KEY', 'CREDITCARD']",Ogden Ave & W 165 St,481624f3-9377-4dfd-a5dd-de05a7fef760
-74.00016545,False,5167.06,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.71117416,66db277a-0aca-11e7-82f6-3863bb44ef7c,71,[],27,classic,False,"['KEY', 'CREDITCARD']",St James Pl & Pearl St,66db277a-0aca-11e7-82f6-3863bb44ef7c
-73.95218,False,3286.07,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.64871,1817432434869846072,71,[],23,classic,False,"['KEY', 'CREDITCARD']",Rogers Ave & Snyder Ave,1817432434869846072
-73.956388,False,5340.01,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.716967,1786698974100683436,71,[],53,classic,False,"['KEY', 'CREDITCARD']",N 7 St & Driggs Ave,1786698974100683436
-73.96951,False,3034.02,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.64235,1822663031356509142,71,[],21,classic,False,"['KEY', 'CREDITCARD']",Matthews Ct & Coney Island Ave,1822663031356509142
-73.990993,False,5712.12,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.72769,d8778570-f7f2-458d-82f5-9ad39210a501,71,[],50,classic,False,"['KEY', 'CREDITCARD']",E 5 St & Cooper Sq,d8778570-f7f2-458d-82f5-9ad39210a501
-74.00558933615685,False,5997.10,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.73752993301071,29ced315-14b5-4edc-bef2-665316dfe3dd,71,[],45,classic,False,"['KEY', 'CREDITCARD']",W 12 St & Hudson St,29ced315-14b5-4edc-bef2-665316dfe3dd
-73.916082,False,8344.04,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.848177,ca843847-923a-40b7-80ca-c1c3fff6e818,71,[],20,classic,False,"['KEY', 'CREDITCARD']",Macombs Rd & W 175 St,ca843847-923a-40b7-80ca-c1c3fff6e818
-73.98990025,False,5303.08,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.71427487,66db6f2e-0aca-11e7-82f6-3863bb44ef7c,71,[],45,classic,False,"['KEY', 'CREDITCARD']",Canal St & Rutgers St,66db6f2e-0aca-11e7-82f6-3863bb44ef7c
