id,station_name,short_name,total_docks,docks_in_service,status,lat,lng,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_8hcu_yrd4
a3aabad8-a135-11e9-9cda-0a87ae2ba916,Sheffield Ave & Webster Ave,TA1309000033,19,19,In Service,41.92154,-87.653818,"{'type': 'Point', 'coordinates': [-87.653818, 41.92154]}",16,21190,68,797,34,16,43
2010820263334840794,Panama Ave & Grace St,21394,11,11,In Service,41.94766,-87.82925,"{'type': 'Point', 'coordinates': [-87.82925, 41.94766]}",39,22254,17,445,19,52,38
1594046413873042132,Western Ave & Grace St,,9,9,In Service,41.95039,-87.688234,"{'type': 'Point', 'coordinates': [-87.688234, 41.95039]}",13,21538,46,613,18,39,47
a3b26fee-a135-11e9-9cda-0a87ae2ba916,Vernon Ave & 79th St,574,11,11,In Service,41.75094,-87.61379,"{'type': 'Point', 'coordinates': [-87.61379, 41.75094]}",31,21546,40,11,32,61,4
a3afc858-a135-11e9-9cda-0a87ae2ba916,Pulaski Rd & Eddy St,KA1504000141,11,11,In Service,41.946264,-87.731023,"{'type': 'Point', 'coordinates': [-87.731023, 41.946264]}",27,22618,16,329,21,21,30
a3af71a9-a135-11e9-9cda-0a87ae2ba916,Kedzie Ave & Foster Ave,KA1504000128,11,11,In Service,41.975672,-87.709261,"{'type': 'Point', 'coordinates': [-87.709261, 41.975672]}",28,21849,13,167,38,20,39
a3b0f5c9-a135-11e9-9cda-0a87ae2ba916,Austin Blvd & Chicago Ave,16921,7,7,In Service,41.894887,-87.774704,"{'type': 'Point', 'coordinates': [-87.774704, 41.894887]}",52,4299,26,671,7,5,29
a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,Broadway & Berwyn Ave,13109,15,15,In Service,41.978361,-87.659789,"{'type': 'Point', 'coordinates': [-87.659789, 41.978361]}",40,22616,76,160,16,15,48
1594046439642845944,N Shore Channel Trail & Argyle St,,9,9,In Service,41.972177,-87.702749,"{'type': 'Point', 'coordinates': [-87.702749, 41.972177]}",46,21849,6,620,24,20,40
a3a9c0f6-a135-11e9-9cda-0a87ae2ba916,Morgan St & 31st St,TA1308000046,11,11,In Service,41.8378,-87.65114,"{'type': 'Point', 'coordinates': [-87.65114, 41.8378]}",26,14920,58,676,48,43,7
a3b35885-a135-11e9-9cda-0a87ae2ba916,Keystone Ave & Fullerton Ave,16010,11,11,In Service,41.92459,-87.72785,"{'type': 'Point', 'coordinates': [-87.72785, 41.92459]}",7,22615,21,439,17,2,31
1990029911253170300,Wallace St & Pershing Rd,24338,16,16,In Service,41.82339,-87.64118,"{'type': 'Point', 'coordinates': [-87.64118, 41.82339]}",26,14924,59,123,48,37,7
1942117929887056608,Meade Ave & Diversey Ave,21353,15,15,In Service,41.93086,-87.77845,"{'type': 'Point', 'coordinates': [-87.77845, 41.93086]}",52,22615,19,78,21,2,30
1861996658372408268,Kostner Ave & Wrightwood Ave,23321,15,15,In Service,41.927957,-87.735952,"{'type': 'Point', 'coordinates': [-87.735952, 41.927957]}",7,22615,21,439,17,2,31
1938033609511385892,Kildare Ave & 55th St,21403,15,15,In Service,41.79332,-87.73059,"{'type': 'Point', 'coordinates': [-87.73059, 41.79332]}",35,22248,60,793,6,56,23
a3b222fc-a135-11e9-9cda-0a87ae2ba916,Racine Ave & Garfield Blvd,559,11,11,In Service,41.794228,-87.655073,"{'type': 'Point', 'coordinates': [-87.655073, 41.794228]}",19,14924,59,790,4,37,20
a3afa9dc-a135-11e9-9cda-0a87ae2ba916,Campbell Ave & Montrose Ave,15623,15,15,In Service,41.961524,-87.691177,"{'type': 'Point', 'coordinates': [-87.691177, 41.961524]}",13,21849,6,621,18,20,47
a3a701b8-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & Wrightwood Ave,13296,15,15,In Service,41.92883,-87.668507,"{'type': 'Point', 'coordinates': [-87.668507, 41.92883]}",16,21190,68,743,40,16,32
1448642188027369086,Indiana Ave & 133rd St,,6,6,In Service,41.653564,-87.617054,"{'type': 'Point', 'coordinates': [-87.617054, 41.653564]}",30,4460,51,10,43,47,11
ce334dea-c5ba-45ca-a52d-39dc161683b0,Eberhart Ave & 131st St,20211,15,15,In Service,41.6584131511,-87.610710897,"{'type': 'Point', 'coordinates': [-87.610710896988, 41.658413151101]}",30,4460,51,9,43,47,11
a3a4203a-a135-11e9-9cda-0a87ae2ba916,Dearborn St & Adams St,TA1305000005,19,19,In Service,41.8793563587,-87.6297910363,"{'type': 'Point', 'coordinates': [-87.6297910363, 41.8793563587]}",22,14912,38,92,36,29,34
a3ad8587-a135-11e9-9cda-0a87ae2ba916,Griffin Museum of Science and Industry,KA1503000074,27,27,In Service,41.7917282095,-87.583945009,"{'type': 'Point', 'coordinates': [-87.583945009, 41.79172820953]}",32,22260,8,502,33,60,3
